trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.5, 'e': 0.3993395294062732}",35,2,-73.89780335271816,"{0: 26, 1: 4, 2: 1, 3: 0, 4: 2}",1
117,False,"{'a': 0.5, 'e': 0.3901516843082303}",20,8,2.7715037848095867,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.38092482436688185}",20,0,-13.89212141865309,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.371659872260533}",20,0,-68.00071338209538,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,0,-1.022621378413287,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.3530194012193304}",25,2,-58.544980244095235,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.34364574631604705}",20,0,-46.90756999322596,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.3342377271245026}",20,12,-6.2276861208313825,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.32479628443877623}",20,0,3.0407913720006343,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.3153223623952687}",25,0,-14.960958578311033,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.30581690837828934}",25,11,-15.76811036824805,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.29628087292531874}",30,20,-5.899039804566003,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2867152096319555}",20,0,-20.708008439500613,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.2771208750565576}",35,0,-68.64636160944387,"{0: 25, 1: 4, 2: 4, 3: 2, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.26749882862458735}",30,15,22.63067673521049,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2578500325326696}",30,15,-17.70288157378898,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2481754516523729}",25,0,-16.713263884803787,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.23847605343372313}",20,3,-6.887571984717945,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.22875280780845939}",30,14,16.32106121217981,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2190066870930415}",25,13,20.582556309140255,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.20923866589141926}",20,0,14.006950553211828,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.19944972099757285}",25,10,-16.280838603916102,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,6,4.0199310358393685,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.17981297767299936}",25,11,13.956179231074065,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.16996714290024081}",20,9,16.17907662130719,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.16010431155483126}",25,9,-20.835368163101904,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.15022546991168584}",25,5,11.718057462018287,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.14033160584673673}",35,23,2.6748704952452242,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.13042370873814554}",20,0,14.221237327169387,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.12050276936736662}",20,0,-0.977960466922821,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
